collection,record_id,reference,field,fr_value,en_value
products,a7qwafv849knvej,ROSES-INCANDESCENTES,summary,"Une pièce florale d’exception, où la rose s’impose dans toute sa splendeur, portée par une mise en scène à la fois naturelle et profondément élégante.

Lovées dans un panier en osier finement tressé, des roses rouges au velouté intense s’épanouissent en une composition généreuse et vibrante. Chaque corolle, parfaitement ouverte, révèle une profondeur de couleur captivante — un rouge incandescent, presque lumineux, contrasté par le vert franc d’un feuillage délicat.

La structure du panier, aux courbes douces et enveloppantes, sublime l’ensemble en lui apportant une dimension artisanale et intemporelle. Elle évoque le geste du cueilleur, la fraîcheur du jardin au petit matin, et cette élégance spontanée propre aux plus belles compositions florales.

Baignée d’une lumière chaude et dorée, la composition semble vivante, animée par le mouvement subtil de pétales rouges portés par une brise légère. L’atmosphère, à la fois intime et lumineuse, évoque un jardin secret en pleine floraison, où chaque détail participe à une émotion visuelle rare.

Intention créative
Célébrer la rose dans sa forme la plus pure et la plus expressive — entre intensité, sensualité et naturel maîtrisé.

Palette & matières

Rouge profond et lumineux
Vert végétal éclatant
Osier naturel aux teintes miel
Jeu de lumière dorée, reflets satinés sur les pétales

Signature
Une création florale à la présence forte, pensée comme un objet de désir — entre nature sublimée et esthétique couture.",
products,vu2d4pz1rgx7r7r,PIVOINE-FETE-DES-MERES,name,Pivoine fête des mères,
products,vu2d4pz1rgx7r7r,PIVOINE-FETE-DES-MERES,summary,"Dans une lumière douce, presque dorée, ce bouquet de pivoines révèle toute la poésie d’un printemps parisien — une attention pensée comme un hommage délicat à la Fête des Mères. Les fleurs, larges et généreusement ouvertes, déclinent des nuances subtiles de rose corail, de blush délicat et de blanc crème. Leurs cœurs dorés, finement texturés, captent la lumière et apportent une profondeur vibrante à l’ensemble.

Chaque pivoine semble sculptée, comme travaillée à la main, dévoilant des pétales soyeux aux volumes aériens. L’équilibre entre opulence et légèreté crée une silhouette florale à la fois contemporaine et intemporelle — une signature de raffinement absolu, pensée pour célébrer avec justesse celles qui comptent.

Allure & inspiration :

Esprit haute couture florale
Palette lumineuse et poudrée
Jeu de transparence et de matière
Évocation d’un printemps parisien élégant
Cadeau d’exception pour la Fête des Mères

Signature visuelle :
Porté contre soi, le bouquet devient presque un accessoire de mode. Il accompagne le geste, souligne la silhouette, et transforme l’instant en scène. Offert, il traduit une émotion sincère, une attention précieuse. La douceur des teintes s’accorde à la peau, tandis que la lumière naturelle révèle chaque détail avec précision.

Sensation :
Un parfum visuel de fraîcheur et de grâce, entre délicatesse et intensité. Une composition qui ne cherche pas à séduire — elle s’impose avec évidence, comme un geste tendre et essentiel.",
products,d7v287vmtyyteb6,PIVOINE-BLANCHE,name,pivoine blanche,
products,vuny4stacx2bxzy,TENSION-SILENCIEUSE-DENIM-ABSOLU,name,"Tension Silencieuse, Denim Absolu",
products,vuny4stacx2bxzy,TENSION-SILENCIEUSE-DENIM-ABSOLU,summary,"Une allure brute, presque instinctive. Le denim s’impose ici comme une seconde peau, sculptant la silhouette avec une précision sensuelle. Porté avec un simple t-shirt ajusté, il révèle toute sa puissance : lignes nettes, attitude nonchalante, masculinité sans effort.

Inspiré des icônes des années 90, ce jean capture l’essence d’un style libre et affirmé. Entre tension et désinvolture, chaque mouvement devient une déclaration; minimaliste, mais inoubliable.

Le genre de pièce qui ne suit pas la tendance, mais la définit.",
products,t0aogw15y4kf208,ENTRE-DEUX-REGARDS,name,Billie Jean,
products,t0aogw15y4kf208,ENTRE-DEUX-REGARDS,summary,"Une scène suspendue, presque volée, où le denim devient langage. Coupe droite, taille naturelle, toile brute : le jean structure la silhouette avec une évidence intemporelle. Associé à une veste souple et un t-shirt immaculé, il incarne cette élégance instinctive propre aux années 60.

L’attitude est tout : nonchalante, magnétique, légèrement rebelle. Le denim ne se contente pas d’habiller, il raconte; un moment, une tension, une complicité. Entre ombre et lumière, il impose une allure libre, authentique, profondément moderne.

Un essentiel qui traverse les époques sans jamais perdre son pouvoir d’attraction.",
products,51g1u5f2m3bys6b,CORPS-AND-DENIM,name,Corps & Denim,
products,51g1u5f2m3bys6b,CORPS-AND-DENIM,summary,"Le denim comme manifeste. Taille basse, toile authentique, coupe droite : une architecture pure qui épouse le corps sans le contraindre. Porté à même la peau, il révèle une masculinité affirmée, instinctive, presque sculpturale.

L’allure est frontale, introspective, capturée dans un moment suspendu où la force rencontre la vulnérabilité. Héritage des campagnes des années 90, ce jean incarne une esthétique sans compromis : brute, sensuelle, essentielle.

Plus qu’un vêtement, une attitude. Une signature.",
products,f9m8530lelfwq7q,DENIM-SOLITUDE,name,Denim Solitude,
products,f9m8530lelfwq7q,DENIM-SOLITUDE,summary,"Le denim comme manifeste. Taille basse, toile authentique, coupe droite : une architecture pure qui épouse le corps sans le contraindre. Porté à même la peau, il révèle une masculinité affirmée, instinctive, presque sculpturale.

L’allure est frontale, introspective, capturée dans un moment suspendu où la force rencontre la vulnérabilité. Héritage des campagnes des années 90, ce jean incarne une esthétique sans compromis : brute, sensuelle, essentielle.

Plus qu’un vêtement, une attitude. Une signature.",
products,reyq1m7y3gxtvns,ROSES-ROUGES,name,Rose Impériale Éternelle 🌹,
products,reyq1m7y3gxtvns,ROSES-ROUGES,summary,"Un bouquet pensé comme une déclaration.
Rose Impériale Éternelle réunit des roses poudrées, fuchsia et rouge profond dans une composition spectaculaire aux volumes couture, inspirée des grandes maisons florales parisiennes.

Présenté dans une boîte cylindrique rouge satinée et sublimé par un large ruban éclatant, ce bouquet joue l’équilibre parfait entre romantisme moderne et sophistication éditoriale. Les roses anglaises aux pétales généreux dialoguent avec des nuances vibrantes de framboise, carmin et blush rosé pour créer une silhouette florale opulente et lumineuse.

Chaque détail évoque une esthétique de campagne mode printanière :
une féminité solaire, des textures délicates, une élégance spontanée.

Une création conçue pour les grands gestes, les instants précieux et les émotions qui méritent d’être offertes avec éclat.",
products,tplzgl8va2czaju,RODRI-2024,name,Costume de cérémonie noir “Golden Ceremony”,
products,tplzgl8va2czaju,RODRI-2024,summary,"Pensé comme une silhouette de gala, ce costume noir incarne l’élégance sobre des grandes cérémonies. Sa coupe structurée dessine une ligne nette, masculine et maîtrisée, tandis que le revers satiné apporte une touche de lumière discrète, presque cinématographique. Porté avec une chemise blanche immaculée et un nœud papillon noir, l’ensemble évoque une allure de lauréat : précise, confiante, intemporelle.

Le contraste entre le noir profond du smoking et les reflets dorés de la scène crée une esthétique luxueuse, idéale pour les moments où l’élégance doit rester puissante sans jamais devenir ostentatoire. C’est une tenue pensée pour les soirées d’exception, les remises de prix, les dîners formels ou les événements où chaque détail compte.

Pièce principale : smoking noir de cérémonie
Style : luxe contemporain, gala, red carpet, award night
Coupe : ajustée, structurée, épaule nette
Détails visibles : revers satiné, veste boutonnée, chemise blanche, nœud papillon noir
Accessoires recommandés : montre habillée, boutons de manchette, chaussures vernies noires
Ambiance : prestige, victoire, élégance européenne, soirée dorée",
products,4tfvxtfw9bl6f8n,CHAPEAU-DE-PAILLE-CARIBBEAN-HALO,name,Chapeau de paille “Caribbean Halo”,
products,4tfvxtfw9bl6f8n,CHAPEAU-DE-PAILLE-CARIBBEAN-HALO,summary,"Un halo de paille dorée pour celles et ceux qui transforment le soleil en signature.

Pièce solaire à l’allure sculpturale, ce chapeau de paille réinvente l’accessoire estival comme un véritable objet de scène. Sa couronne tressée à la main évoque l’artisanat caribéen, tandis que ses bords volontairement effilés dessinent une silhouette expressive, presque graphique. Entre nonchalance tropicale et présence iconique, il impose immédiatement une attitude : libre, magnétique, luxueuse.

Porté avec une chemise blanche ouverte, une chaîne dorée et une peau hâlée par la lumière, il devient plus qu’un simple chapeau de plage : c’est une pièce éditoriale, pensée pour transformer une tenue minimaliste en image forte. Son volume généreux encadre le visage, capte la lumière et donne à l’ensemble une dimension mode, sensuelle et artistique.",
categories,6s2lgwg23oh5npw,CAT-ROBES,name,Robes Studio Kiki,
categories,6s2lgwg23oh5npw,CAT-ROBES,description,Collection capsule de robes inspirees des heroines Kiki.,
categories,rbgw100o4t1n5d7,CAT-ACCESS,name,Cadeaux,
categories,rbgw100o4t1n5d7,CAT-ACCESS,description,Accessoires textiles et papeterie pour le quotidien.,
categories,l7sviu5unz63uci,CAT-DECO,name,Décoration Château,
categories,l7sviu5unz63uci,CAT-DECO,description,Objets déco et textiles maison pour une ambiance poétique.,
categories,gt2svxy0xyuz98t,VOGUE,name,vogue,
categories,6l9w3cmiw44t70t,CADEAUX-POUR-ELLE,name,Cadeaux pour elle,
categories,rrady2t08fkoe2w,LES-FLEURS,name,Les fleurs,
categories,6c0d6mfksm7twt3,USUI-TAKUMI,name,Jean De Nîmes,
categories,mabb1cp9u4qsjgu,HOMME,name,Homme,
categories,akb93kg1d7rgomv,HOMME_CHAUSSURES,name,Chaussures,
categories,qkdyfqy1og5ci4j,HOMME_CHAUSSURES_TOUTES_LES_CHAUSSURES,name,Toutes les chaussures,
categories,30e8wvbox3t6jbr,HOMME_CHAUSSURES_LIFESTYLE,name,Lifestyle,
categories,molmg5ha4azanwc,HOMME_CHAUSSURES_JORDAN,name,Jordan,
categories,aghbxawerovxw80,HOMME_CHAUSSURES_RUNNING,name,Running,
categories,zco9o6bibg0k24g,HOMME_CHAUSSURES_FOOTBALL,name,Football,
categories,adm11f93ls1t2vl,HOMME_CHAUSSURES_BASKETBALL,name,Basketball,
categories,j88vmy0x9p5k07u,HOMME_CHAUSSURES_TRAINING_ET_FITNESS,name,Training et fitness,
categories,ldgp87hovar5y5w,HOMME_CHAUSSURES_SKATEBOARD,name,Skateboard,
categories,ybhd0zk3oqqbxsi,HOMME_CHAUSSURES_CHAUSSURES_PERSONNALISEES,name,Chaussures personnalisées,
categories,vq2vfabzpzak4h0,HOMME_VETEMENTS,name,Vêtements,
categories,t505a195oqxgoz8,HOMME_VETEMENTS_TOUS_LES_VETEMENTS,name,Tous les vêtements,
categories,7iuvyfbpka1g0fj,HOMME_VETEMENTS_SWEATS_A_CAPUCHE_ET_SWEATS,name,Sweats à capuche et sweats,
categories,0z0v9eqpfau30et,HOMME_VETEMENTS_HAUTS_ET_T_SHIRTS,name,Hauts et t-shirts,
categories,g6164dv6ga01tdu,HOMME_VETEMENTS_SURVETEMENTS,name,Survêtements,
categories,2j4kv8eihnqolrj,HOMME_VETEMENTS_VESTES,name,Vestes,
categories,grlzplsz59q9zob,HOMME_VETEMENTS_PANTALONS_ET_LEGGINGS,name,Pantalons et leggings,
categories,54sbrck7qv6cpbn,HOMME_VETEMENTS_SHORTS,name,Shorts,
categories,nt0lwrn6x9jne7c,HOMME_VETEMENTS_ACCESSOIRES,name,Accessoires,
categories,o7hmnr0umev3vjv,HOMME_SPORT,name,Sport,
categories,nyj9gujjr0214wa,HOMME_SPORT_TOUS_LES_SPORTS,name,Tous les sports,
categories,14cvy0li8sch5z3,HOMME_SPORT_RUNNING,name,Running,
categories,s9hehcosdr96l1w,HOMME_SPORT_FOOTBALL,name,Football,
categories,jrxem8uxpzwpahu,HOMME_SPORT_BASKETBALL,name,Basketball,
categories,bn76by9771j4hjf,HOMME_SPORT_TRAINING_ET_FITNESS,name,Training et fitness,
categories,22ubw82m0ab7lz3,HOMME_SPORT_TENNIS,name,Tennis,
categories,a7to8jjbdz6ws88,HOMME_SPORT_GOLF,name,Golf,
categories,l7ligextqcwcjk3,FEMME,name,Femme,
categories,niyboesw8os4d4w,FEMME_CHAUSSURES,name,Chaussures,
categories,ob4heofov45uh6q,FEMME_CHAUSSURES_TOUTES_LES_CHAUSSURES,name,Toutes les chaussures,
categories,4p3asmoa56me78n,FEMME_CHAUSSURES_LIFESTYLE,name,Lifestyle,
categories,cai3ggzfyp55yu4,FEMME_CHAUSSURES_JORDAN,name,Jordan,
categories,t28427b97nm41u8,FEMME_CHAUSSURES_RUNNING,name,Running,
categories,116xfosqngj7b9p,FEMME_CHAUSSURES_TRAINING_ET_FITNESS,name,Training et fitness,
categories,y26ggc0zy3uyqv2,FEMME_CHAUSSURES_FOOTBALL,name,Football,
categories,2gen4j13tep7r7c,FEMME_CHAUSSURES_BASKETBALL,name,Basketball,
categories,zlfx1udr2z0wzpw,FEMME_CHAUSSURES_CHAUSSURES_PERSONNALISEES,name,Chaussures personnalisées,
categories,uobox3nmx39ewzt,FEMME_VETEMENTS,name,Vêtements,
categories,aq5cikl70p8wd5a,FEMME_VETEMENTS_TOUS_LES_VETEMENTS,name,Tous les vêtements,
categories,dq38u1yp45roifz,FEMME_VETEMENTS_SWEATS_A_CAPUCHE_ET_SWEATS,name,Sweats à capuche et sweats,
categories,5eeyzdn2y3lanp2,FEMME_VETEMENTS_HAUTS_ET_T_SHIRTS,name,Hauts et t-shirts,
categories,q382dbgc7xv4bld,FEMME_VETEMENTS_PANTALONS,name,Pantalons,
categories,t9ecfp9tqwyzyxi,FEMME_VETEMENTS_LEGGINGS,name,Leggings,
categories,ijp6j02x766zyxw,FEMME_VETEMENTS_ENSEMBLES,name,Ensembles,
categories,53d1aqivvv9re17,FEMME_VETEMENTS_VESTES,name,Vestes,
categories,e7oij0836i1zicj,FEMME_VETEMENTS_SHORTS,name,Shorts,
categories,1tgac3f84ozgttq,FEMME_VETEMENTS_BRASSIERES_DE_SPORT,name,Brassières de sport,
categories,pdzlnyhrqwjs42v,FEMME_VETEMENTS_ACCESSOIRES,name,Accessoires,
categories,suomd3090yt0l93,FEMME_SPORT,name,Sport,
categories,25zd6rq8lviwbt2,FEMME_SPORT_TOUS_LES_SPORTS,name,Tous les sports,
categories,dx9qlayl1tdzhsz,FEMME_SPORT_RUNNING,name,Running,
categories,023yria4tosdrgi,FEMME_SPORT_FOOTBALL,name,Football,
categories,wyhgumkxs7xkcpc,FEMME_SPORT_BASKETBALL,name,Basketball,
categories,ys5je7i2a5szgkx,FEMME_SPORT_TRAINING_ET_FITNESS,name,Training et fitness,
categories,gdl1x18r9mmck9a,FEMME_SPORT_TENNIS,name,Tennis,
categories,p87siincc2jgsat,FEMME_SPORT_GOLF,name,Golf,
categories,2i2q83s1ud38yz7,ENFANT,name,Enfant,
categories,denka5vzmn0se3u,ENFANT_CHAUSSURES,name,Chaussures,
categories,dxtdzubjoy1en1i,ENFANT_CHAUSSURES_TOUTES_LES_CHAUSSURES,name,Toutes les chaussures,
categories,kijnj6hck1br3bz,ENFANT_CHAUSSURES_LIFESTYLE,name,Lifestyle,
categories,xw7a1qpk826z7vy,ENFANT_CHAUSSURES_JORDAN,name,Jordan,
categories,0uweu01d283cms2,ENFANT_CHAUSSURES_FOOTBALL,name,Football,
categories,ra0acmbl2ycrxab,ENFANT_CHAUSSURES_RUNNING,name,Running,
categories,o3q7n4765uw3o8x,ENFANT_CHAUSSURES_BASKETBALL,name,Basketball,
categories,fn9cgwwpgkdd5jq,ENFANT_CHAUSSURES_EDUCATION_PHYSIQUE,name,Éducation physique,
categories,514lmcxjd1scacm,ENFANT_VETEMENTS,name,Vêtements,
categories,u4rbqhb9zymrgxw,ENFANT_VETEMENTS_TOUS_LES_VETEMENTS,name,Tous les vêtements,
categories,02udyyqkhar72f9,ENFANT_VETEMENTS_SWEATS_A_CAPUCHE_ET_SWEATS,name,Sweats à capuche et sweats,
categories,nwiywjcsdyd5p6a,ENFANT_VETEMENTS_HAUTS_ET_T_SHIRTS,name,Hauts et t-shirts,
categories,a97nzjifpd6erjz,ENFANT_VETEMENTS_PANTALONS_ET_LEGGINGS,name,Pantalons et leggings,
categories,p7cemkg3stxufvc,ENFANT_VETEMENTS_VESTES,name,Vestes,
categories,4fbajz7f8drrt61,ENFANT_VETEMENTS_SURVETEMENTS,name,Survêtements,
categories,nzasgxdyd2z4jde,ENFANT_VETEMENTS_SHORTS,name,Shorts,
categories,zrbmxgv8hziaey4,ENFANT_VETEMENTS_BRASSIERES_DE_SPORT,name,Brassières de sport,
categories,ewov85y940z9af8,ENFANT_VETEMENTS_ENSEMBLES,name,Ensembles,
categories,l8ijdybs09rk6gb,ENFANT_SPORT,name,Sport,
categories,19klylrfj8bmbsg,ENFANT_SPORT_RUNNING,name,Running,
categories,yyh2mhacb9url3i,ENFANT_SPORT_FOOTBALL,name,Football,
categories,u4oomont6cypuhw,ENFANT_SPORT_BASKETBALL,name,Basketball,
categories,cy499kw4xn42xzk,ENFANT_SPORT_EDUCATION_PHYSIQUE,name,Éducation physique,
categories,rcww3ria005lwsp,SPORT_HOMME_SUMMER_ESSENTIALS,name,Articles d'été,
categories,j31qkpsasv9sl4o,SPORT_HOMME_BALLON_DOR,name,Ballon D'Or,
categories,pjh64wbjulwhgct,SPORT_HOMME_BUNNY_HOPE,name,Bunny Hope,
narrativeChapters,l07ut5lta7g5x62,Kiki prend son elan,headline,Kiki prend son elan,
narrativeChapters,l07ut5lta7g5x62,Kiki prend son elan,story,La silhouette se pose des la premiere image et ouvre le recit.,
narrativeChapters,l07ut5lta7g5x62,Kiki prend son elan,ctaLabel,Zoom sur la robe,
narrativeChapters,cl7zpv4kenen5x6,Le tissu suit le vent,headline,Le tissu suit le vent,
narrativeChapters,cl7zpv4kenen5x6,Le tissu suit le vent,story,On guide ensuite vers la matiere et le mouvement du tissu.,
narrativeChapters,cl7zpv4kenen5x6,Le tissu suit le vent,ctaLabel,Details matiere,
narrativeChapters,5uzkzh0sx4qn3s3,La robe se lit de dos,headline,La robe se lit de dos,
narrativeChapters,5uzkzh0sx4qn3s3,La robe se lit de dos,story,La derniere image insiste sur la coupe et invite a verifier la taille.,
narrativeChapters,5uzkzh0sx4qn3s3,La robe se lit de dos,ctaLabel,Guide des tailles,
navigation_items,txcaeu7k69lci7r,Mode fille,label,Mode fille,
navigation_items,b5yhwecs6afd684,Mode homme,label,Mode homme,
navigation_items,xx6my289zgrzztf,Robes,label,Robes,
navigation_items,xk5isu3l0gz0vq7,jouets Fleurs,label,jouets Fleurs,
